Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,3/23/2026,RUMBO PERU - CUSCO CUSCO                     03/20,-2.5,DEBIT_CARD,275.51,
CREDIT,3/23/2026,REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-051504597  FROM: FD Sptsbk Casino/Interchecks - FanDuel REF: RNU403ACAOP08-CT INFO: TEXT-/VXR/00100000240337399RmtInf-FD Sptsbk Casino IID: 20260323051504597P1BB05091722801239 RECD: 09:17:24 TRN: 0462822082GE,12.52,MISC_CREDIT,278.01,
DEBIT,3/20/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/19FARMACIA,-0.68,FEE_TRANSACTION,265.49,
DEBIT,3/20/2026,FARMACIA IMPERIAL Wanchaq                    03/19 Nuevo Sol  78.00 X 0.2919231 (EXCHG RTE),-22.77,DEBIT_CARD,266.17,
DEBIT,3/19/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 667727  03/19PRL AV LA,-3.72,FEE_TRANSACTION,288.94,
DEBIT,3/19/2026,NON-CHASE ATM FEE-WITH,-5,FEE_TRANSACTION,292.66,
DEBIT,3/19/2026,NON-CHASE ATM WITHDRAW               667727  03/19PRL AV LA Nuevo Sol  400.00 X 0.2919059 (EXCHG RTE),-124.06,ATM,297.66,
DEBIT,3/17/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/16FARMACIA,-0.67,FEE_TRANSACTION,421.72,
DEBIT,3/17/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/16CONSETTUR,-0.71,FEE_TRANSACTION,422.39,
DEBIT,3/17/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/15IZI*KASAS,-1.17,FEE_TRANSACTION,423.1,
DEBIT,3/17/2026,APPLE.COM/BILL 866-712-7753 CA               03/17,-2.99,DEBIT_CARD,424.27,
DEBIT,3/17/2026,FARMACIA IMPERIAL Wanchaq                    03/16 Nuevo Sol  78.00 X 0.2885897 (EXCHG RTE),-22.51,DEBIT_CARD,427.26,
DEBIT,3/17/2026,CONSETTUR MACHUPICCHU CUSCO                  03/16 Nuevo Sol  82.87 X 0.2886449 (EXCHG RTE),-23.92,DEBIT_CARD,449.77,
DEBIT,3/17/2026,IZI*KASAS DEL INKA MACH LIMA                 03/15 Nuevo Sol  136.20 X 0.2886197 (EXCHG RTE),-39.31,DEBIT_CARD,473.69,
DEBIT,3/16/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/13CIGARRERI,-0.17,FEE_TRANSACTION,513,
DEBIT,3/16/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/13ALPES BAR,-0.24,FEE_TRANSACTION,513.17,
DEBIT,3/16/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/13WONG BAJA,-0.35,FEE_TRANSACTION,513.41,
DEBIT,3/16/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/14EL MORDIS,-0.4,FEE_TRANSACTION,513.76,
DEBIT,3/16/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/14CHANGO CU,-0.41,FEE_TRANSACTION,514.16,
DEBIT,3/16/2026,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         03/14FARMACIA,-0.67,FEE_TRANSACTION,514.57,
DEBIT,3/16/2026,NON-CHASE ATM FEE-WITH,-5,FEE_TRANSACTION,515.24,
DEBIT,3/16/2026,NON-CHASE ATM FEE-WITH,-5,FEE_TRANSACTION,520.24,
DEBIT,3/16/2026,NON-CHASE ATM WITHDRAW               727425  03/15AV  VENTI,-70.23,ATM,525.24,
DEBIT,3/16/2026,CHANGO CUSCO                                 03/14 Nuevo Sol  48.00 X 0.2885417 (EXCHG RTE),-13.85,DEBIT_CARD,595.47,
DEBIT,3/16/2026,EL MORDISCO Cusco                            03/14 Nuevo Sol  46.80 X 0.2886752 (EXCHG RTE),-13.51,DEBIT_CARD,609.32,
DEBIT,3/16/2026,FARMACIA IMPERIAL Wanchaq                    03/14 Nuevo Sol  78.00 X 0.2885897 (EXCHG RTE),-22.51,DEBIT_CARD,622.83,
DEBIT,3/16/2026,NON-CHASE ATM WITHDRAW               126056  03/14PASAJE FI,-109,ATM,645.34,
DEBIT,3/16/2026,ALPES BAR LIMA                               03/13 Nuevo Sol  28.00 X 0.2885714 (EXCHG RTE),-8.08,DEBIT_CARD,754.34,
DEBIT,3/16/2026,WONG BAJADA BALTA LIMA                       03/13 Nuevo Sol  41.40 X 0.2886473 (EXCHG RTE),-11.95,DEBIT_CARD,762.42,
DEBIT,3/16/2026,CIGARRERIA INTERNACION BOGOTA                03/13 CO Peso    21500.00 X 0.000271163 (EXCHG RTE),-5.83,DEBIT_CARD,774.37,
DEBIT,3/16/2026,MPOS-AVIANCA PANAMA                          03/13,-6,DEBIT_CARD,780.2,
DEBIT,3/16/2026,HUDSON ST2378 JAMAICA NY                     03/13,-6.32,DEBIT_CARD,786.2,
DEBIT,3/16/2026,MTA*NYCT PAYGO NEW YORK NY                   03/13,-8.75,DEBIT_CARD,792.52,
DEBIT,3/16/2026,MTA*NYCT PAYGO NEW YORK NY                   03/13,-3,DEBIT_CARD,801.27,
DEBIT,3/16/2026,THE BEST COLUMBIA DELI NEW YORK NY           03/12,-11.29,DEBIT_CARD,804.27,
DEBIT,3/13/2026,SQ *THE BROOKLYN COUNTE Jamaica NY           03/13,-6.26,DEBIT_CARD,815.56,
DEBIT,3/12/2026,WOODYS CAFE PISCATAWAY NJ                    03/11,-1,DEBIT_CARD,821.82,
DEBIT,3/12/2026,METUCHEN DELI METUCHEN NJ                    03/11,-13.97,DEBIT_CARD,822.82,
DEBIT,3/10/2026,LAN AIRLINE 04544680212 MIAMI FL             03/09,-22,DEBIT_CARD,836.79,
DEBIT,3/10/2026,JetSMART AirAF44SE +357 2430 470             03/09,-16.87,DEBIT_CARD,858.79,
DEBIT,3/9/2026,FRESH MART EDISON. EDISON NJ                 03/08,-2.25,DEBIT_CARD,875.66,
DEBIT,3/2/2026,MYIQ.COM/US MYIQ.COM NY                      03/01,-0.5,DEBIT_CARD,877.91,
DEBIT,3/2/2026,MYIQ.COM/US MYIQ.COM NY                      03/01,-0.5,DEBIT_CARD,878.41,
DEBIT,3/2/2026,"Zelle payment to EDISON MUSLIM COMMUNITY CENTER A NJ, EDISON, NJ 28255141251",-10,QUICKPAY_DEBIT,878.91,
DEBIT,3/2/2026,FRESH MART EDISON. EDISON NJ                 02/27,-5.99,DEBIT_CARD,888.91,
DEBIT,2/27/2026,STARBUCKS STORE PISCATAWAY NJ                02/26,-5.25,DEBIT_CARD,894.9,
DEBIT,2/27/2026,TST*OBAGEL - NEW BRU New Brunswick NJ        02/26,-5.81,DEBIT_CARD,900.15,
DEBIT,2/27/2026,APPLE CASH SENT MONE 1INFINITELOOP CA        02/26,-15,DEBIT_CARD,905.96,
DEBIT,2/23/2026,WWW.HOSTELWORLD.COM DUBLIN                   02/16,-6.45,DEBIT_CARD,920.96,
DEBIT,2/19/2026,ATM WITHDRAWAL                       005067  02/19475 MAIN,-5,ATM,927.41,
DEBIT,2/18/2026,STELTON LIQUOR PISCATAWAY NJ                 02/11,-12.25,DEBIT_CARD,932.41,
DEBIT,2/17/2026,APPLE.COM/BILL 866-712-7753 CA               02/17,-2.99,DEBIT_CARD,944.66,
DEBIT,2/17/2026,KRAUSZERS FOOD STORE METUCHEN NJ             02/16,-7.99,DEBIT_CARD,947.65,
DEBIT,2/17/2026,QUICK STOP PISCATAWAY NJ                     02/13,-3.63,DEBIT_CARD,955.64,
DEBIT,2/13/2026,CROWN FISH & CHICKEN N PISCATAWAY NJ         02/13,-5.76,DEBIT_CARD,959.27,
DEBIT,2/13/2026,APPLE CASH SENT MONE 1INFINITELOOP CA        02/12,-5,DEBIT_CARD,965.03,
DEBIT,2/11/2026,Zelle payment to KARUPPASAMY SANKARALINGAM JPM99c5aq7am,-30,CHASE_TO_PARTNERFI,970.03,
DEBIT,2/10/2026,APPLE CASH SENT MONE 1INFINITELOOP CA        02/09,-195.2,DEBIT_CARD,1000.03,
DEBIT,2/9/2026,FD Sptsbk Casino payment    MEOMC4YN14      WEB ID: 2852295126,-10,MISC_DEBIT,1195.23,
DEBIT,2/9/2026,FD Sptsbk Casino payment    5LAFVG4DRE      WEB ID: 2852295126,-15,MISC_DEBIT,1205.23,
DEBIT,2/9/2026,FD Sptsbk Casino payment    3K9OWRTWMU      WEB ID: 2852295126,-34,MISC_DEBIT,1220.23,
DEBIT,2/9/2026,FD Sptsbk Casino payment    TNG05H6T6P      WEB ID: 2852295126,-40,MISC_DEBIT,1254.23,
DEBIT,2/9/2026,APPLE CASH INST XFER CUPERTINO CA    065541  02/08,9.75,DEBIT_CARD,1294.23,
DEBIT,2/9/2026,APPLE CASH INST XFER CUPERTINO CA    974889  02/08,14.75,DEBIT_CARD,1284.48,
DEBIT,2/9/2026,APPLE CASH INST XFER CUPERTINO CA    686414  02/08,34.48,DEBIT_CARD,1269.73,
DEBIT,2/9/2026,APPLE CASH INST XFER CUPERTINO CA    754952  02/08,39.4,DEBIT_CARD,1235.25,
CREDIT,2/9/2026,REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-051504597  FROM: FD Sptsbk Casino/Interchecks - FanDuel REF: QAAD35N20DP08-CT INFO: TEXT-/VXR/00100000240337399RmtInf-FD Sptsbk Casino IID: 20260208051504597P1BB07225938356314 RECD: 22:59:39 TRN: 1987942039GA,195.2,MISC_CREDIT,1195.85,
DSLIP,2/4/2026,REMOTE ONLINE DEPOSIT #          1,1000,CHECK_DEPOSIT,1000.65,1
DEBIT,1/26/2026,WHAT A KNIGHT NEW BRUNSWICK NJ               01/23,-5.25,DEBIT_CARD,0.65,
DEBIT,1/20/2026,TACO BELL 039035 SOUTH PLAINFI NJ            01/17,-11.9,DEBIT_CARD,5.9,
DEBIT,1/20/2026,APPLE.COM/BILL 866-712-7753 CA               01/17,-2.99,DEBIT_CARD,17.8,
DEBIT,1/20/2026,SUMIYAKI JAPAN METUCHEN NJ                   01/16,-13.34,DEBIT_CARD,20.79,
DEBIT,1/20/2026,DELTA METUCHEN NJ                            01/16,-15,DEBIT_CARD,34.13,
DEBIT,1/16/2026,CPI*CANTEEN VENDING A 800-628-8363 NJ        01/15,-2.6,DEBIT_CARD,49.13,
DEBIT,1/16/2026,CPI*CANTEEN VENDING A 800-628-8363 NJ        01/15,-3.1,DEBIT_CARD,51.73,
DEBIT,1/16/2026,CPI*CANTEEN VENDING A 800-628-8363 NJ        01/15,-2.35,DEBIT_CARD,54.83,
DEBIT,1/15/2026,FANDUELCASPRIMARY 9717083015 NJ              01/15,-5,DEBIT_CARD,57.18,
DEBIT,1/15/2026,GOOD RX CAFE PISCATAWAY NJ                   01/14,-9.99,DEBIT_CARD,62.18,
DEBIT,1/15/2026,DD *DOORDASH HEAVYWEI 855-431-0459 CA        01/14,-15.97,DEBIT_CARD,72.17,
DEBIT,1/15/2026,MACHUPICCHU CENTER 818-2330042 WY            01/14,-39,DEBIT_CARD,88.14,
DEBIT,1/14/2026,CE PERU RAIL 1 LIMA                          01/13,-124.45,DEBIT_CARD,127.14,
DEBIT,1/13/2026,ATM WITHDRAWAL                       001236  01/13475 MAIN,-5,ATM,251.59,
DEBIT,1/12/2026,WINE CHATEAU 973-9957585 NJ                  01/10,-5.03,DEBIT_CARD,256.59,
DEBIT,1/12/2026,ASTRA*TREMENDOUXLUU SAN FRANCISCO CA 190248  01/12,84.6,DEBIT_CARD,261.62,
DEBIT,1/9/2026,LUKE-BAROUSSE.MYKAJA LUKEBAROUSSE. MS        01/09,-65,DEBIT_CARD,177.02,
DEBIT,1/9/2026,LUKE-BAROUSSE.MYKAJA LUKEBAROUSSE. MS        01/09,-35,DEBIT_CARD,242.02,
DEBIT,1/9/2026,CROWNBILL.COM CYPRUS                         01/07,-0.99,DEBIT_CARD,277.02,
DEBIT,1/8/2026,TST*ADONIS MARKET North Brunswi NJ           01/07,-6.13,DEBIT_CARD,278.01,
DEBIT,1/8/2026,JOLLIBEE JERSEY CITY NJ                      01/06,-11.16,DEBIT_CARD,284.14,
DEBIT,1/7/2026,8996 RETRO FITNESS O EDISON NJ               01/07,-10,DEBIT_CARD,295.3,
DEBIT,1/6/2026,TARGET T-1055 EDISON NJ                      01/06,-4.89,DEBIT_CARD,305.3,
DEBIT,1/6/2026,CHICK N ZINGER EDISON NJ                     01/06,-8.83,DEBIT_CARD,310.19,
DEBIT,1/5/2026,APPLE.COM/BILL 866-712-7753 CA               01/05,-2.99,DEBIT_CARD,319.02,
DEBIT,1/5/2026,APPLE.COM/BILL 866-712-7753 CA               01/05,-20.25,DEBIT_CARD,322.01,
DEBIT,12/29/2025,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         12/26Najmat Al,-0.09,FEE_TRANSACTION,342.26,
DEBIT,12/29/2025,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         12/27Najmat Al,-0.12,FEE_TRANSACTION,342.35,
DEBIT,12/29/2025,Najmat AlSahara Fast Fo MAKKAH               12/27 Saudi Riyal16.00 X 0.2668750 (EXCHG RTE),-4.27,DEBIT_CARD,342.47,
DEBIT,12/29/2025,Najmat AlSahra Company MAKKAH                12/26 Saudi Riyal12.00 X 0.2666667 (EXCHG RTE),-3.2,DEBIT_CARD,346.74,
DEBIT,12/26/2025,THE NEW STAND ST2823 NEWARK NJ               12/24,-4.11,DEBIT_CARD,349.94,
DEBIT,12/24/2025,TARGET T-1929 SOUTH PLAINFI NJ               12/24,-15.55,DEBIT_CARD,354.05,
DEBIT,12/24/2025,TST*ADONIS MARKET North Brunswi NJ           12/23,-13.06,DEBIT_CARD,369.6,
DEBIT,12/22/2025,WHAT'S THE SCOOP METUCHEN NJ                 12/21,-9.71,DEBIT_CARD,382.66,
DEBIT,12/22/2025,KRAUSZERS FOOD STORE METUCHEN NJ             12/20,-14.91,DEBIT_CARD,392.37,
DEBIT,12/22/2025,FANDUELSBKPRIMARY 9717083015 NJ              12/20,-5,DEBIT_CARD,407.28,
DEBIT,12/22/2025,NETFLIX.COM NETFLIX.COM CA                   12/19,-8.52,DEBIT_CARD,412.28,
DEBIT,12/22/2025,NJT MOBILE    30010003 973-3786463 NJ        12/19,-27.8,DEBIT_CARD,420.8,
DEBIT,12/22/2025,METUCHEN LIQUOR & WINE METUCHEN NJ           12/19,-24.72,DEBIT_CARD,448.6,
DEBIT,12/19/2025,ATM WITHDRAWAL                       000211  12/19475 MAIN,-50,ATM,473.32,
DEBIT,12/19/2025,APPLE CASH INST XFER CUPERTINO CA    453265  12/18,49.25,DEBIT_CARD,523.32,
CREDIT,12/18/2025,Zelle payment from NAHBAN HOQUE BACo6q108f41,100,PARTNERFI_TO_CHASE,474.07,
DEBIT,12/17/2025,MCDONALD'S F11154 MONMOUTH JUNC NJ           12/16,-2.02,DEBIT_CARD,374.07,
DEBIT,12/17/2025,APPLE CASH SENT MONE 1INFINITELOOP CA        12/16,-5,DEBIT_CARD,376.09,
DEBIT,12/16/2025,CROWNBILL.COM LIMASSOL                       12/16,-11.99,DEBIT_CARD,381.09,
DEBIT,12/15/2025,APPLE.COM/BILL 866-712-7753 CA               12/13,-17.05,DEBIT_CARD,393.08,
DEBIT,12/15/2025,QUICK STOP PISCATAWAY NJ                     12/12,-5.35,DEBIT_CARD,410.13,
CREDIT,12/15/2025,REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-051504597  FROM: FD Sptsbk Casino/Interchecks - FanDuel REF: YLTHTO20LPP08-CT INFO: TEXT-/VXR/00100000240337399RmtInf-FD Sptsbk Casino IID: 20251214051504597P1BS02003149111717 RECD: 00:31:50 TRN: 2365352347GC,19.55,MISC_CREDIT,415.48,
DEBIT,12/15/2025,APPLE.COM/BILL 866-712-7753 CA               12/15,17.05,DEBIT_CARD,395.93,
DEBIT,12/12/2025,FANDUELSBKPRIMARY 9717083015 NJ              12/12,-15,DEBIT_CARD,378.88,
DEBIT,12/11/2025,TACO BELL 034806 MONMOUTH JUNC NJ            12/10,-9.6,DEBIT_CARD,393.88,
DEBIT,12/11/2025,247 RTE 130 GAS FIELDSBORO NJ                12/10,-10,DEBIT_CARD,403.48,
DEBIT,12/11/2025,APPLE CASH INST XFER CUPERTINO CA    438740  12/11,4.75,DEBIT_CARD,413.48,
DEBIT,12/11/2025,APPLE CASH INST XFER CUPERTINO CA    435733  12/11,10.25,DEBIT_CARD,408.73,
DEBIT,12/11/2025,ASTRA*TREMENDOTLHEXX SAN FRANCISCO CA101700  12/11,225.6,DEBIT_CARD,398.48,
DEBIT,12/10/2025,TST*KHOKHA Piscataway NJ                     12/09,-11.72,DEBIT_CARD,172.88,
DEBIT,12/9/2025,SUNOCO 8000445502 EDISON NJ                  12/08,-10,DEBIT_CARD,184.6,
DEBIT,12/8/2025,Zelle payment to ISHAN SHARMA JPM99bxo3f2z,-10,CHASE_TO_PARTNERFI,194.6,
DEBIT,12/8/2025,DD *DOORDASH IFFYSHOT 855-431-0459 CA        12/08,-14.88,DEBIT_CARD,204.6,
DEBIT,12/8/2025,KRAUSZERS FOOD STORE METUCHEN NJ             12/06,-6.81,DEBIT_CARD,219.48,
DEBIT,12/8/2025,APPLE CASH SENT MONE 1INFINITELOOP CA        12/06,-10,DEBIT_CARD,226.29,
DEBIT,12/8/2025,TST*CHIEFS STEAK SHOP Middlesex NJ           12/05,-17.11,DEBIT_CARD,236.29,
DEBIT,12/5/2025,7-ELEVEN SOUTH PLAINFI NJ                    12/05,-4.79,DEBIT_CARD,253.4,
DEBIT,12/5/2025,WAWA 8386 PISCATAWAY NJ                      12/04,-10.85,DEBIT_CARD,258.19,
DEBIT,12/4/2025,STARBUCKS - BRUNSWIC NEW BRUNSWICK NJ        12/03,-3.25,DEBIT_CARD,269.04,
DEBIT,12/4/2025,APPLE CASH SENT MONE 1INFINITELOOP CA        12/03,-5,DEBIT_CARD,272.29,
DEBIT,12/2/2025,TST*TACO EMPRESO Edison NJ                   12/01,-14.92,DEBIT_CARD,277.29,
CREDIT,12/2/2025,$125 for New Checking,125,MISC_CREDIT,292.21,
DEBIT,12/1/2025,FD Sptsbk Casino payment    OI0L9WZB46      WEB ID: 2852295126,-33,MISC_DEBIT,167.21,
DEBIT,12/1/2025,APPLE CASH INST XFER CUPERTINO CA    805803  11/30,11.75,DEBIT_CARD,200.21,
CREDIT,12/1/2025,REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-051504597  FROM: FD Sptsbk Casino/Interchecks - FanDuel REF: HK079PWOTNP08-CT INFO: TEXT-/VXR/00100000240337399RmtInf-FD Sptsbk Casino IID: 20251130051504597P1BS08201501934813 RECD: 20:15:03 TRN: 1605902334GC,33,MISC_CREDIT,188.46,
DEBIT,11/28/2025,PASTRY LU LLC METUCHEN NJ                    11/26,-7.16,DEBIT_CARD,155.46,
DEBIT,11/28/2025,TST*CHE PIZZA Metuchen NJ                    11/26,-5.33,DEBIT_CARD,162.62,
DEBIT,11/28/2025,METUCHEN DELI METUCHEN NJ                    11/26,-8.86,DEBIT_CARD,167.95,
DEBIT,11/28/2025,DD *DOORDASH THEPARKA 855-431-0459 CA        11/27,-8.53,DEBIT_CARD,176.81,
DEBIT,11/26/2025,FD Sptsbk Casino payment    9Q1DRZ1AWR      WEB ID: 2852295126,-20,MISC_DEBIT,185.34,
DEBIT,11/26/2025,SALS SPIRIT SHOPPE S PLAINFIELD NJ           11/26,-28.63,DEBIT_CARD,205.34,
DEBIT,11/26/2025,APPLE CASH SENT MONE 1INFINITELOOP CA        11/25,-30,DEBIT_CARD,233.97,
DEBIT,11/24/2025,FRESH MART EDISON. EDISON NJ                 11/23,-6.41,DEBIT_CARD,263.97,
DEBIT,11/24/2025,CVS/PHARMACY #00271 SOUTH PLAINFI NJ         11/22,-5.96,DEBIT_CARD,270.38,
DEBIT,11/24/2025,STARBUCKS STORE 14295 ELIZABETH NJ           11/21,-6.6,DEBIT_CARD,276.34,
DEBIT,11/24/2025,APPLE CASH INST XFER CUPERTINO CA    437013  11/24,19.7,DEBIT_CARD,282.94,
DEBIT,11/21/2025,FD Sptsbk Casino payment    M3KN9GNAX6      WEB ID: 2852295126,-10,MISC_DEBIT,263.24,
DEBIT,11/21/2025,FUELWAY METUCHEN METUCHEN NJ                 11/20,-10,DEBIT_CARD,273.24,
DEBIT,11/21/2025,WENDY'S 217 SOUTH PLAINFI NJ                 11/20,-2.97,DEBIT_CARD,283.24,
DEBIT,11/21/2025,BUTLER FOOD STORE NEW BRUNSWICK NJ           11/20,-3.39,DEBIT_CARD,286.21,
DEBIT,11/21/2025,TST*NIRVANIS INDIAN New Brunswick NJ         11/20,-1.87,DEBIT_CARD,289.6,
DEBIT,11/20/2025,QDOBA 2798 PISCATAWAY NJ                     11/19,-3.15,DEBIT_CARD,291.47,
DEBIT,11/20/2025,STARBUCKS - BRUNSWIC NEW BRUNSWICK NJ        11/19,-5.38,DEBIT_CARD,294.62,
CREDIT,11/19/2025,Zelle payment from MAINUL HOQUE BACjkbra0fsi,300,PARTNERFI_TO_CHASE,300,
