details,posting_date,description,amount,type,balance,category
DEBIT,2026-03-23,HOGAR Y SALUD - MIR Puente Piedra 03/20 Nuevo Sol 21.50 X 0.2874419 (EXCHG RTE),-6.18,DEBIT_CARD,224.74,Health & Fitness
DEBIT,2026-03-23,NIKE LARCOMAR LIMA 03/20 Nuevo Sol 91.70 X 0.2874591 (EXCHG RTE),-26.36,DEBIT_CARD,230.92,Shopping
DEBIT,2026-03-23,IZI*POS HOTEL LLAQTA WA LIMA 03/20 Nuevo Sol 63.00 X 0.2893651 (EXCHG RTE),-18.23,DEBIT_CARD,257.28,Travel
DEBIT,2026-03-23,RUMBO PERU - CUSCO CUSCO 03/20,-2.5,DEBIT_CARD,275.51,Travel
CREDIT,2026-03-23,REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-051504597 FROM: FD Sptsbk Casino/Interchecks - FanDuel REF: RNU403ACAOP08-CT INFO: TEXT-/VXR/00100000240337399RmtInf-FD Sptsbk Casino IID: 20260323051504597P1BB05091722801239 RECD: 09:17:24 TRN: 0462822082GE,12.52,MISC_CREDIT,278.01,Income
DEBIT,2026-03-20,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/19FARMACIA,-0.68,FEE_TRANSACTION,265.49,Fees
DEBIT,2026-03-20,FARMACIA IMPERIAL Wanchaq 03/19 Nuevo Sol 78.00 X 0.2919231 (EXCHG RTE),-22.77,DEBIT_CARD,266.17,Health & Fitness
DEBIT,2026-03-19,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 667727 03/19PRL AV LA,-3.72,FEE_TRANSACTION,288.94,Fees
DEBIT,2026-03-19,NON-CHASE ATM FEE-WITH,-5.0,FEE_TRANSACTION,292.66,Fees
DEBIT,2026-03-19,NON-CHASE ATM WITHDRAW 667727 03/19PRL AV LA Nuevo Sol 400.00 X 0.2919059 (EXCHG RTE),-124.06,ATM,297.66,Transfers & Cash
DEBIT,2026-03-17,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/16FARMACIA,-0.67,FEE_TRANSACTION,421.72,Fees
DEBIT,2026-03-17,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/16CONSETTUR,-0.71,FEE_TRANSACTION,422.39,Fees
DEBIT,2026-03-17,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/15IZI*KASAS,-1.17,FEE_TRANSACTION,423.1,Fees
DEBIT,2026-03-17,APPLE.COM/BILL 866-712-7753 CA 03/17,-2.99,DEBIT_CARD,424.27,Subscriptions
DEBIT,2026-03-17,FARMACIA IMPERIAL Wanchaq 03/16 Nuevo Sol 78.00 X 0.2885897 (EXCHG RTE),-22.51,DEBIT_CARD,427.26,Health & Fitness
DEBIT,2026-03-17,CONSETTUR MACHUPICCHU CUSCO 03/16 Nuevo Sol 82.87 X 0.2886449 (EXCHG RTE),-23.92,DEBIT_CARD,449.77,Travel
DEBIT,2026-03-17,IZI*KASAS DEL INKA MACH LIMA 03/15 Nuevo Sol 136.20 X 0.2886197 (EXCHG RTE),-39.31,DEBIT_CARD,473.69,Travel
DEBIT,2026-03-16,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/13CIGARRERI,-0.17,FEE_TRANSACTION,513.0,Fees
DEBIT,2026-03-16,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/13ALPES BAR,-0.24,FEE_TRANSACTION,513.17,Fees
DEBIT,2026-03-16,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/13WONG BAJA,-0.35,FEE_TRANSACTION,513.41,Fees
DEBIT,2026-03-16,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/14EL MORDIS,-0.4,FEE_TRANSACTION,513.76,Fees
DEBIT,2026-03-16,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/14CHANGO CU,-0.41,FEE_TRANSACTION,514.16,Fees
DEBIT,2026-03-16,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 03/14FARMACIA,-0.67,FEE_TRANSACTION,514.57,Fees
DEBIT,2026-03-16,NON-CHASE ATM FEE-WITH,-5.0,FEE_TRANSACTION,515.24,Fees
DEBIT,2026-03-16,NON-CHASE ATM FEE-WITH,-5.0,FEE_TRANSACTION,520.24,Fees
DEBIT,2026-03-16,NON-CHASE ATM WITHDRAW 727425 03/15AV VENTI,-70.23,ATM,525.24,Transfers & Cash
DEBIT,2026-03-16,CHANGO CUSCO 03/14 Nuevo Sol 48.00 X 0.2885417 (EXCHG RTE),-13.85,DEBIT_CARD,595.47,Food & Dining
DEBIT,2026-03-16,EL MORDISCO Cusco 03/14 Nuevo Sol 46.80 X 0.2886752 (EXCHG RTE),-13.51,DEBIT_CARD,609.32,Food & Dining
DEBIT,2026-03-16,FARMACIA IMPERIAL Wanchaq 03/14 Nuevo Sol 78.00 X 0.2885897 (EXCHG RTE),-22.51,DEBIT_CARD,622.83,Health & Fitness
DEBIT,2026-03-16,NON-CHASE ATM WITHDRAW 126056 03/14PASAJE FI,-109.0,ATM,645.34,Transfers & Cash
DEBIT,2026-03-16,ALPES BAR LIMA 03/13 Nuevo Sol 28.00 X 0.2885714 (EXCHG RTE),-8.08,DEBIT_CARD,754.34,Food & Dining
DEBIT,2026-03-16,WONG BAJADA BALTA LIMA 03/13 Nuevo Sol 41.40 X 0.2886473 (EXCHG RTE),-11.95,DEBIT_CARD,762.42,Groceries
DEBIT,2026-03-16,CIGARRERIA INTERNACION BOGOTA 03/13 CO Peso 21500.00 X 0.000271163 (EXCHG RTE),-5.83,DEBIT_CARD,774.37,Groceries
DEBIT,2026-03-16,MPOS-AVIANCA PANAMA 03/13,-6.0,DEBIT_CARD,780.2,Travel
DEBIT,2026-03-16,HUDSON ST2378 JAMAICA NY 03/13,-6.32,DEBIT_CARD,786.2,Food & Dining
DEBIT,2026-03-16,MTA*NYCT PAYGO NEW YORK NY 03/13,-8.75,DEBIT_CARD,792.52,Travel
DEBIT,2026-03-16,MTA*NYCT PAYGO NEW YORK NY 03/13,-3.0,DEBIT_CARD,801.27,Travel
DEBIT,2026-03-16,THE BEST COLUMBIA DELI NEW YORK NY 03/12,-11.29,DEBIT_CARD,804.27,Groceries
DEBIT,2026-03-13,SQ *THE BROOKLYN COUNTE Jamaica NY 03/13,-6.26,DEBIT_CARD,815.56,Food & Dining
DEBIT,2026-03-12,WOODYS CAFE PISCATAWAY NJ 03/11,-1.0,DEBIT_CARD,821.82,Food & Dining
DEBIT,2026-03-12,METUCHEN DELI METUCHEN NJ 03/11,-13.97,DEBIT_CARD,822.82,Groceries
DEBIT,2026-03-10,LAN AIRLINE 04544680212 MIAMI FL 03/09,-22.0,DEBIT_CARD,836.79,Travel
DEBIT,2026-03-10,JetSMART AirAF44SE +357 2430 470 03/09,-16.87,DEBIT_CARD,858.79,Travel
DEBIT,2026-03-09,FRESH MART EDISON. EDISON NJ 03/08,-2.25,DEBIT_CARD,875.66,Groceries
DEBIT,2026-03-02,MYIQ.COM/US MYIQ.COM NY 03/01,-0.5,DEBIT_CARD,877.91,Subscriptions
DEBIT,2026-03-02,MYIQ.COM/US MYIQ.COM NY 03/01,-0.5,DEBIT_CARD,878.41,Subscriptions
DEBIT,2026-03-02,"Zelle payment to EDISON MUSLIM COMMUNITY CENTER A NJ, EDISON, NJ 28255141251",-10.0,QUICKPAY_DEBIT,878.91,Transfers & Cash
DEBIT,2026-03-02,FRESH MART EDISON. EDISON NJ 02/27,-5.99,DEBIT_CARD,888.91,Groceries
DEBIT,2026-02-27,STARBUCKS STORE PISCATAWAY NJ 02/26,-5.25,DEBIT_CARD,894.9,Food & Dining
DEBIT,2026-02-27,TST*OBAGEL - NEW BRU New Brunswick NJ 02/26,-5.81,DEBIT_CARD,900.15,Food & Dining
DEBIT,2026-02-27,APPLE CASH SENT MONE 1INFINITELOOP CA 02/26,-15.0,DEBIT_CARD,905.96,Transfers & Cash
DEBIT,2026-02-23,WWW.HOSTELWORLD.COM DUBLIN 02/16,-6.45,DEBIT_CARD,920.96,Travel
DEBIT,2026-02-19,ATM WITHDRAWAL 005067 02/19475 MAIN,-5.0,ATM,927.41,Transfers & Cash
DEBIT,2026-02-18,STELTON LIQUOR PISCATAWAY NJ 02/11,-12.25,DEBIT_CARD,932.41,Food & Dining
DEBIT,2026-02-17,APPLE.COM/BILL 866-712-7753 CA 02/17,-2.99,DEBIT_CARD,944.66,Subscriptions
DEBIT,2026-02-17,KRAUSZERS FOOD STORE METUCHEN NJ 02/16,-7.99,DEBIT_CARD,947.65,Groceries
DEBIT,2026-02-17,QUICK STOP PISCATAWAY NJ 02/13,-3.63,DEBIT_CARD,955.64,Groceries
DEBIT,2026-02-13,CROWN FISH & CHICKEN N PISCATAWAY NJ 02/13,-5.76,DEBIT_CARD,959.27,Food & Dining
DEBIT,2026-02-13,APPLE CASH SENT MONE 1INFINITELOOP CA 02/12,-5.0,DEBIT_CARD,965.03,Transfers & Cash
DEBIT,2026-02-11,Zelle payment to KARUPPASAMY SANKARALINGAM JPM99c5aq7am,-30.0,CHASE_TO_PARTNERFI,970.03,Transfers & Cash
DEBIT,2026-02-10,APPLE CASH SENT MONE 1INFINITELOOP CA 02/09,-195.2,DEBIT_CARD,1000.03,Transfers & Cash
DEBIT,2026-02-09,FD Sptsbk Casino payment MEOMC4YN14 WEB ID: 2852295126,-10.0,MISC_DEBIT,1195.23,Entertainment & Gaming
DEBIT,2026-02-09,FD Sptsbk Casino payment 5LAFVG4DRE WEB ID: 2852295126,-15.0,MISC_DEBIT,1205.23,Entertainment & Gaming
DEBIT,2026-02-09,FD Sptsbk Casino payment 3K9OWRTWMU WEB ID: 2852295126,-34.0,MISC_DEBIT,1220.23,Entertainment & Gaming
DEBIT,2026-02-09,FD Sptsbk Casino payment TNG05H6T6P WEB ID: 2852295126,-40.0,MISC_DEBIT,1254.23,Entertainment & Gaming
DEBIT,2026-02-09,APPLE CASH INST XFER CUPERTINO CA 065541 02/08,9.75,DEBIT_CARD,1294.23,Transfers & Cash
DEBIT,2026-02-09,APPLE CASH INST XFER CUPERTINO CA 974889 02/08,14.75,DEBIT_CARD,1284.48,Transfers & Cash
DEBIT,2026-02-09,APPLE CASH INST XFER CUPERTINO CA 686414 02/08,34.48,DEBIT_CARD,1269.73,Transfers & Cash
DEBIT,2026-02-09,APPLE CASH INST XFER CUPERTINO CA 754952 02/08,39.4,DEBIT_CARD,1235.25,Transfers & Cash
CREDIT,2026-02-09,REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-051504597 FROM: FD Sptsbk Casino/Interchecks - FanDuel REF: QAAD35N20DP08-CT INFO: TEXT-/VXR/00100000240337399RmtInf-FD Sptsbk Casino IID: 20260208051504597P1BB07225938356314 RECD: 22:59:39 TRN: 1987942039GA,195.2,MISC_CREDIT,1195.85,Income
DSLIP,2026-02-04,REMOTE ONLINE DEPOSIT # 1,1000.0,CHECK_DEPOSIT,1000.65,Income
DEBIT,2026-01-26,WHAT A KNIGHT NEW BRUNSWICK NJ 01/23,-5.25,DEBIT_CARD,0.65,Food & Dining
DEBIT,2026-01-20,TACO BELL 039035 SOUTH PLAINFI NJ 01/17,-11.9,DEBIT_CARD,5.9,Food & Dining
DEBIT,2026-01-20,APPLE.COM/BILL 866-712-7753 CA 01/17,-2.99,DEBIT_CARD,17.8,Subscriptions
DEBIT,2026-01-20,SUMIYAKI JAPAN METUCHEN NJ 01/16,-13.34,DEBIT_CARD,20.79,Food & Dining
DEBIT,2026-01-20,DELTA METUCHEN NJ 01/16,-15.0,DEBIT_CARD,34.13,Gas & Auto
DEBIT,2026-01-16,CPI*CANTEEN VENDING A 800-628-8363 NJ 01/15,-2.6,DEBIT_CARD,49.13,Food & Dining
DEBIT,2026-01-16,CPI*CANTEEN VENDING A 800-628-8363 NJ 01/15,-3.1,DEBIT_CARD,51.73,Food & Dining
DEBIT,2026-01-16,CPI*CANTEEN VENDING A 800-628-8363 NJ 01/15,-2.35,DEBIT_CARD,54.83,Food & Dining
DEBIT,2026-01-15,FANDUELCASPRIMARY 9717083015 NJ 01/15,-5.0,DEBIT_CARD,57.18,Entertainment & Gaming
DEBIT,2026-01-15,GOOD RX CAFE PISCATAWAY NJ 01/14,-9.99,DEBIT_CARD,62.18,Food & Dining
DEBIT,2026-01-15,DD *DOORDASH HEAVYWEI 855-431-0459 CA 01/14,-15.97,DEBIT_CARD,72.17,Food & Dining
DEBIT,2026-01-15,MACHUPICCHU CENTER 818-2330042 WY 01/14,-39.0,DEBIT_CARD,88.14,Travel
DEBIT,2026-01-14,CE PERU RAIL 1 LIMA 01/13,-124.45,DEBIT_CARD,127.14,Travel
DEBIT,2026-01-13,ATM WITHDRAWAL 001236 01/13475 MAIN,-5.0,ATM,251.59,Transfers & Cash
DEBIT,2026-01-12,WINE CHATEAU 973-9957585 NJ 01/10,-5.03,DEBIT_CARD,256.59,Food & Dining
DEBIT,2026-01-12,ASTRA*TREMENDOUXLUU SAN FRANCISCO CA 190248 01/12,84.6,DEBIT_CARD,261.62,Subscriptions
DEBIT,2026-01-09,LUKE-BAROUSSE.MYKAJA LUKEBAROUSSE. MS 01/09,-65.0,DEBIT_CARD,177.02,Subscriptions
DEBIT,2026-01-09,LUKE-BAROUSSE.MYKAJA LUKEBAROUSSE. MS 01/09,-35.0,DEBIT_CARD,242.02,Subscriptions
DEBIT,2026-01-09,CROWNBILL.COM CYPRUS 01/07,-0.99,DEBIT_CARD,277.02,Subscriptions
DEBIT,2026-01-08,TST*ADONIS MARKET North Brunswi NJ 01/07,-6.13,DEBIT_CARD,278.01,Groceries
DEBIT,2026-01-08,JOLLIBEE JERSEY CITY NJ 01/06,-11.16,DEBIT_CARD,284.14,Food & Dining
DEBIT,2026-01-07,8996 RETRO FITNESS O EDISON NJ 01/07,-10.0,DEBIT_CARD,295.3,Health & Fitness
DEBIT,2026-01-06,TARGET T-1055 EDISON NJ 01/06,-4.89,DEBIT_CARD,305.3,Shopping
DEBIT,2026-01-06,CHICK N ZINGER EDISON NJ 01/06,-8.83,DEBIT_CARD,310.19,Food & Dining
DEBIT,2026-01-05,APPLE.COM/BILL 866-712-7753 CA 01/05,-2.99,DEBIT_CARD,319.02,Subscriptions
DEBIT,2026-01-05,APPLE.COM/BILL 866-712-7753 CA 01/05,-20.25,DEBIT_CARD,322.01,Subscriptions
DEBIT,2025-12-29,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 12/26Najmat Al,-0.09,FEE_TRANSACTION,342.26,Fees
DEBIT,2025-12-29,FOREIGN EXCHANGE RATE ADJUSTMENT FEE 12/27Najmat Al,-0.12,FEE_TRANSACTION,342.35,Fees
DEBIT,2025-12-29,Najmat AlSahara Fast Fo MAKKAH 12/27 Saudi Riyal16.00 X 0.2668750 (EXCHG RTE),-4.27,DEBIT_CARD,342.47,Food & Dining
DEBIT,2025-12-29,Najmat AlSahra Company MAKKAH 12/26 Saudi Riyal12.00 X 0.2666667 (EXCHG RTE),-3.2,DEBIT_CARD,346.74,Food & Dining
DEBIT,2025-12-26,THE NEW STAND ST2823 NEWARK NJ 12/24,-4.11,DEBIT_CARD,349.94,Shopping
DEBIT,2025-12-24,TARGET T-1929 SOUTH PLAINFI NJ 12/24,-15.55,DEBIT_CARD,354.05,Shopping
DEBIT,2025-12-24,TST*ADONIS MARKET North Brunswi NJ 12/23,-13.06,DEBIT_CARD,369.6,Groceries
DEBIT,2025-12-22,WHAT'S THE SCOOP METUCHEN NJ 12/21,-9.71,DEBIT_CARD,382.66,Food & Dining
DEBIT,2025-12-22,KRAUSZERS FOOD STORE METUCHEN NJ 12/20,-14.91,DEBIT_CARD,392.37,Groceries
DEBIT,2025-12-22,FANDUELSBKPRIMARY 9717083015 NJ 12/20,-5.0,DEBIT_CARD,407.28,Entertainment & Gaming
DEBIT,2025-12-22,NETFLIX.COM NETFLIX.COM CA 12/19,-8.52,DEBIT_CARD,412.28,Subscriptions
DEBIT,2025-12-22,NJT MOBILE 30010003 973-3786463 NJ 12/19,-27.8,DEBIT_CARD,420.8,Travel
DEBIT,2025-12-22,METUCHEN LIQUOR & WINE METUCHEN NJ 12/19,-24.72,DEBIT_CARD,448.6,Food & Dining
DEBIT,2025-12-19,ATM WITHDRAWAL 000211 12/19475 MAIN,-50.0,ATM,473.32,Transfers & Cash
DEBIT,2025-12-19,APPLE CASH INST XFER CUPERTINO CA 453265 12/18,49.25,DEBIT_CARD,523.32,Transfers & Cash
CREDIT,2025-12-18,Zelle payment from NAHBAN HOQUE BACo6q108f41,100.0,PARTNERFI_TO_CHASE,474.07,Income
DEBIT,2025-12-17,MCDONALD'S F11154 MONMOUTH JUNC NJ 12/16,-2.02,DEBIT_CARD,374.07,Food & Dining
DEBIT,2025-12-17,APPLE CASH SENT MONE 1INFINITELOOP CA 12/16,-5.0,DEBIT_CARD,376.09,Transfers & Cash
DEBIT,2025-12-16,CROWNBILL.COM LIMASSOL 12/16,-11.99,DEBIT_CARD,381.09,Subscriptions
DEBIT,2025-12-15,APPLE.COM/BILL 866-712-7753 CA 12/13,-17.05,DEBIT_CARD,393.08,Subscriptions
DEBIT,2025-12-15,QUICK STOP PISCATAWAY NJ 12/12,-5.35,DEBIT_CARD,410.13,Groceries
CREDIT,2025-12-15,REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-051504597 FROM: FD Sptsbk Casino/Interchecks - FanDuel REF: YLTHTO20LPP08-CT INFO: TEXT-/VXR/00100000240337399RmtInf-FD Sptsbk Casino IID: 20251214051504597P1BS02003149111717 RECD: 00:31:50 TRN: 2365352347GC,19.55,MISC_CREDIT,415.48,Income
DEBIT,2025-12-15,APPLE.COM/BILL 866-712-7753 CA 12/15,17.05,DEBIT_CARD,395.93,Subscriptions
DEBIT,2025-12-12,FANDUELSBKPRIMARY 9717083015 NJ 12/12,-15.0,DEBIT_CARD,378.88,Entertainment & Gaming
DEBIT,2025-12-11,TACO BELL 034806 MONMOUTH JUNC NJ 12/10,-9.6,DEBIT_CARD,393.88,Food & Dining
DEBIT,2025-12-11,247 RTE 130 GAS FIELDSBORO NJ 12/10,-10.0,DEBIT_CARD,403.48,Gas & Auto
DEBIT,2025-12-11,APPLE CASH INST XFER CUPERTINO CA 438740 12/11,4.75,DEBIT_CARD,413.48,Transfers & Cash
DEBIT,2025-12-11,APPLE CASH INST XFER CUPERTINO CA 435733 12/11,10.25,DEBIT_CARD,408.73,Transfers & Cash
DEBIT,2025-12-11,ASTRA*TREMENDOTLHEXX SAN FRANCISCO CA101700 12/11,225.6,DEBIT_CARD,398.48,Subscriptions
DEBIT,2025-12-10,TST*KHOKHA Piscataway NJ 12/09,-11.72,DEBIT_CARD,172.88,Food & Dining
DEBIT,2025-12-09,SUNOCO 8000445502 EDISON NJ 12/08,-10.0,DEBIT_CARD,184.6,Gas & Auto
DEBIT,2025-12-08,Zelle payment to ISHAN SHARMA JPM99bxo3f2z,-10.0,CHASE_TO_PARTNERFI,194.6,Transfers & Cash
DEBIT,2025-12-08,DD *DOORDASH IFFYSHOT 855-431-0459 CA 12/08,-14.88,DEBIT_CARD,204.6,Food & Dining
DEBIT,2025-12-08,KRAUSZERS FOOD STORE METUCHEN NJ 12/06,-6.81,DEBIT_CARD,219.48,Groceries
DEBIT,2025-12-08,APPLE CASH SENT MONE 1INFINITELOOP CA 12/06,-10.0,DEBIT_CARD,226.29,Transfers & Cash
DEBIT,2025-12-08,TST*CHIEFS STEAK SHOP Middlesex NJ 12/05,-17.11,DEBIT_CARD,236.29,Food & Dining
DEBIT,2025-12-05,7-ELEVEN SOUTH PLAINFI NJ 12/05,-4.79,DEBIT_CARD,253.4,Groceries
DEBIT,2025-12-05,WAWA 8386 PISCATAWAY NJ 12/04,-10.85,DEBIT_CARD,258.19,Groceries
DEBIT,2025-12-04,STARBUCKS - BRUNSWIC NEW BRUNSWICK NJ 12/03,-3.25,DEBIT_CARD,269.04,Food & Dining
DEBIT,2025-12-04,APPLE CASH SENT MONE 1INFINITELOOP CA 12/03,-5.0,DEBIT_CARD,272.29,Transfers & Cash
DEBIT,2025-12-02,TST*TACO EMPRESO Edison NJ 12/01,-14.92,DEBIT_CARD,277.29,Food & Dining
CREDIT,2025-12-02,$125 for New Checking,125.0,MISC_CREDIT,292.21,Income
DEBIT,2025-12-01,FD Sptsbk Casino payment OI0L9WZB46 WEB ID: 2852295126,-33.0,MISC_DEBIT,167.21,Entertainment & Gaming
DEBIT,2025-12-01,APPLE CASH INST XFER CUPERTINO CA 805803 11/30,11.75,DEBIT_CARD,200.21,Transfers & Cash
CREDIT,2025-12-01,REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-051504597 FROM: FD Sptsbk Casino/Interchecks - FanDuel REF: HK079PWOTNP08-CT INFO: TEXT-/VXR/00100000240337399RmtInf-FD Sptsbk Casino IID: 20251130051504597P1BS08201501934813 RECD: 20:15:03 TRN: 1605902334GC,33.0,MISC_CREDIT,188.46,Income
DEBIT,2025-11-28,PASTRY LU LLC METUCHEN NJ 11/26,-7.16,DEBIT_CARD,155.46,Food & Dining
DEBIT,2025-11-28,TST*CHE PIZZA Metuchen NJ 11/26,-5.33,DEBIT_CARD,162.62,Food & Dining
DEBIT,2025-11-28,METUCHEN DELI METUCHEN NJ 11/26,-8.86,DEBIT_CARD,167.95,Groceries
DEBIT,2025-11-28,DD *DOORDASH THEPARKA 855-431-0459 CA 11/27,-8.53,DEBIT_CARD,176.81,Food & Dining
DEBIT,2025-11-26,FD Sptsbk Casino payment 9Q1DRZ1AWR WEB ID: 2852295126,-20.0,MISC_DEBIT,185.34,Entertainment & Gaming
DEBIT,2025-11-26,SALS SPIRIT SHOPPE S PLAINFIELD NJ 11/26,-28.63,DEBIT_CARD,205.34,Food & Dining
DEBIT,2025-11-26,APPLE CASH SENT MONE 1INFINITELOOP CA 11/25,-30.0,DEBIT_CARD,233.97,Transfers & Cash
DEBIT,2025-11-24,FRESH MART EDISON. EDISON NJ 11/23,-6.41,DEBIT_CARD,263.97,Groceries
DEBIT,2025-11-24,CVS/PHARMACY #00271 SOUTH PLAINFI NJ 11/22,-5.96,DEBIT_CARD,270.38,Health & Fitness
DEBIT,2025-11-24,STARBUCKS STORE 14295 ELIZABETH NJ 11/21,-6.6,DEBIT_CARD,276.34,Food & Dining
DEBIT,2025-11-24,APPLE CASH INST XFER CUPERTINO CA 437013 11/24,19.7,DEBIT_CARD,282.94,Transfers & Cash
DEBIT,2025-11-21,FD Sptsbk Casino payment M3KN9GNAX6 WEB ID: 2852295126,-10.0,MISC_DEBIT,263.24,Entertainment & Gaming
DEBIT,2025-11-21,FUELWAY METUCHEN METUCHEN NJ 11/20,-10.0,DEBIT_CARD,273.24,Gas & Auto
DEBIT,2025-11-21,WENDY'S 217 SOUTH PLAINFI NJ 11/20,-2.97,DEBIT_CARD,283.24,Food & Dining
DEBIT,2025-11-21,BUTLER FOOD STORE NEW BRUNSWICK NJ 11/20,-3.39,DEBIT_CARD,286.21,Groceries
DEBIT,2025-11-21,TST*NIRVANIS INDIAN New Brunswick NJ 11/20,-1.87,DEBIT_CARD,289.6,Food & Dining
DEBIT,2025-11-20,QDOBA 2798 PISCATAWAY NJ 11/19,-3.15,DEBIT_CARD,291.47,Food & Dining
DEBIT,2025-11-20,STARBUCKS - BRUNSWIC NEW BRUNSWICK NJ 11/19,-5.38,DEBIT_CARD,294.62,Food & Dining
